"object","path","type","size"
".","C:\Work_dvz\PythonDeep\Seminar8","dir","2716318"
".gitignore","C:\Work_dvz\PythonDeep\Seminar8","file","7256"
"my_file_home.csv","C:\Work_dvz\PythonDeep\Seminar8","file","7173"
"my_file_home.json","C:\Work_dvz\PythonDeep\Seminar8","file","9270"
"my_pickle_file.bin","C:\Work_dvz\PythonDeep\Seminar8","file","6710"
"new_file.json","C:\Work_dvz\PythonDeep\Seminar8","file","680"
"new_file1.txt","C:\Work_dvz\PythonDeep\Seminar8","file","767"
"new_file2.txt","C:\Work_dvz\PythonDeep\Seminar8","file","150"
"res.txt","C:\Work_dvz\PythonDeep\Seminar8","file","1508"
"sem8_home1.py","C:\Work_dvz\PythonDeep\Seminar8","file","2841"
"sem8_task1.py","C:\Work_dvz\PythonDeep\Seminar8","file","1997"
"sem8_task2.py","C:\Work_dvz\PythonDeep\Seminar8","file","1493"
"sem8_task3.py","C:\Work_dvz\PythonDeep\Seminar8","file","841"
"test.py","C:\Work_dvz\PythonDeep\Seminar8","file","411"
"test2.py","C:\Work_dvz\PythonDeep\Seminar8","file","464"
"Семинар 8. Погружение в Python. Сериализация.pdf","C:\Work_dvz\PythonDeep\Seminar8","file","2633890"
".\.git","C:\Work_dvz\PythonDeep\Seminar8\.git","dir","37529"
"COMMIT_EDITMSG","C:\Work_dvz\PythonDeep\Seminar8\.git","file","11"
"config","C:\Work_dvz\PythonDeep\Seminar8\.git","file","310"
"description","C:\Work_dvz\PythonDeep\Seminar8\.git","file","73"
"HEAD","C:\Work_dvz\PythonDeep\Seminar8\.git\logs","file","848"
"index","C:\Work_dvz\PythonDeep\Seminar8\.git","file","473"
".\.git\hooks","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","dir","25821"
"applypatch-msg.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","478"
"commit-msg.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","896"
"fsmonitor-watchman.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","4726"
"post-update.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","189"
"pre-applypatch.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","424"
"pre-commit.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","1643"
"pre-merge-commit.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","416"
"pre-push.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","1374"
"pre-rebase.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","4898"
"pre-receive.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","544"
"prepare-commit-msg.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","1492"
"push-to-checkout.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","2783"
"sendemail-validate.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","2308"
"update.sample","C:\Work_dvz\PythonDeep\Seminar8\.git\hooks","file","3650"
".\.git\info","C:\Work_dvz\PythonDeep\Seminar8\.git\info","dir","240"
"exclude","C:\Work_dvz\PythonDeep\Seminar8\.git\info","file","240"
".\.git\logs","C:\Work_dvz\PythonDeep\Seminar8\.git\logs","dir","1807"
".\.git\logs\refs","C:\Work_dvz\PythonDeep\Seminar8\.git\logs\refs","dir","959"
".\.git\logs\refs\heads","C:\Work_dvz\PythonDeep\Seminar8\.git\logs\refs\heads","dir","661"
"main","C:\Work_dvz\PythonDeep\Seminar8\.git\refs\remotes\origin","file","41"
".\.git\logs\refs\remotes","C:\Work_dvz\PythonDeep\Seminar8\.git\logs\refs\remotes","dir","298"
".\.git\logs\refs\remotes\origin","C:\Work_dvz\PythonDeep\Seminar8\.git\logs\refs\remotes\origin","dir","298"
".\.git\objects","C:\Work_dvz\PythonDeep\Seminar8\.git\objects","dir","8691"
".\.git\objects\16","C:\Work_dvz\PythonDeep\Seminar8\.git\objects\16","dir","1195"
